Year,Income Source,Sex,Region,Ethnic Group,Measure,Value,Flags
2018,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,322,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,330,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,355,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,364,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,386,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,420,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,297,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,302,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,311,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,318,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,336,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,341,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,341,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,364,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,371,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,402,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,432,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),1174,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),1140.9,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),1173.1,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),1121.3,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),1122.1,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),1127.1,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),1186.9,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),1218.3,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),1237.7,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),1210.6,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),1232.5,
2013,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,695,
2014,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,735,
2015,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,756,
2016,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,789,
2017,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,814,
2018,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,862,
2019,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,882,
2020,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,868,
2021,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,953,
2022,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1017,
2023,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1090,
2013,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,525,
2014,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,560,
2015,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,581,
2016,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,600,
2017,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,623,
2018,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,675,
2019,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,708,
2020,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,665,
2021,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,770,
2022,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,848,
2023,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,921,
2013,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),3477.2,
2014,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),3543,
2015,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),3629.1,
2016,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),3732.9,
2017,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),3820.1,
2018,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),3904.3,
2019,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),3972.7,
2020,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),4074,
2021,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),4095,
2022,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),4103.8,
2023,All sources collected,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),4193.2,
2013,Self-employment Income,Total Both Sexes,Total Regions,European,Average Weekly Income,932,
2014,Self-employment Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1126,
2015,Self-employment Income,Total Both Sexes,Total Regions,European,Average Weekly Income,990,
2016,Self-employment Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1040,
2017,Self-employment Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1074,
2018,Self-employment Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1177,
2019,Self-employment Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1204,
2020,Self-employment Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1067,
2021,Self-employment Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1262,
2022,Self-employment Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1275,
2023,Self-employment Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1292,
2013,Self-employment Income,Total Both Sexes,Total Regions,European,Median Weekly Income,710,
2014,Self-employment Income,Total Both Sexes,Total Regions,European,Median Weekly Income,767,
2015,Self-employment Income,Total Both Sexes,Total Regions,European,Median Weekly Income,690,
2016,Self-employment Income,Total Both Sexes,Total Regions,European,Median Weekly Income,759,
2017,Self-employment Income,Total Both Sexes,Total Regions,European,Median Weekly Income,710,
2018,Self-employment Income,Total Both Sexes,Total Regions,European,Median Weekly Income,767,
2019,Self-employment Income,Total Both Sexes,Total Regions,European,Median Weekly Income,767,
2020,Self-employment Income,Total Both Sexes,Total Regions,European,Median Weekly Income,690,
2021,Self-employment Income,Total Both Sexes,Total Regions,European,Median Weekly Income,786,
2022,Self-employment Income,Total Both Sexes,Total Regions,European,Median Weekly Income,767,
2023,Self-employment Income,Total Both Sexes,Total Regions,European,Median Weekly Income,767,
2013,Self-employment Income,Total Both Sexes,Total Regions,European,Number of People (000),268.8,
2014,Self-employment Income,Total Both Sexes,Total Regions,European,Number of People (000),258.9,
2015,Self-employment Income,Total Both Sexes,Total Regions,European,Number of People (000),274.6,
2016,Self-employment Income,Total Both Sexes,Total Regions,European,Number of People (000),413.9,
2017,Self-employment Income,Total Both Sexes,Total Regions,European,Number of People (000),415.5,
2018,Self-employment Income,Total Both Sexes,Total Regions,European,Number of People (000),421.6,
2019,Self-employment Income,Total Both Sexes,Total Regions,European,Number of People (000),424.6,
2020,Self-employment Income,Total Both Sexes,Total Regions,European,Number of People (000),451.9,
2021,Self-employment Income,Total Both Sexes,Total Regions,European,Number of People (000),477.4,
2022,Self-employment Income,Total Both Sexes,Total Regions,European,Number of People (000),459.4,
2023,Self-employment Income,Total Both Sexes,Total Regions,European,Number of People (000),463,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1000,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1035,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1070,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1127,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1158,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1192,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1224,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1263,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1301,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1399,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,European,Average Weekly Income,1480,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,European,Median Weekly Income,870,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,European,Median Weekly Income,900,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,European,Median Weekly Income,930,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,European,Median Weekly Income,978,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,European,Median Weekly Income,1000,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,European,Median Weekly Income,1040,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,European,Median Weekly Income,1062,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,European,Median Weekly Income,1112,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,European,Median Weekly Income,1140,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,European,Median Weekly Income,1238,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,European,Median Weekly Income,1313,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,European,Number of People (000),1380.7,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,European,Number of People (000),1439.6,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,European,Number of People (000),1507.9,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,European,Number of People (000),1491.2,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,European,Number of People (000),1503.5,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,European,Number of People (000),1529.4,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,European,Number of People (000),1513.8,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,European,Number of People (000),1513.6,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,European,Number of People (000),1523.2,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,European,Number of People (000),1552.7,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,European,Number of People (000),1584.1,
2013,Government Transfer Income,Total Both Sexes,Total Regions,European,Average Weekly Income,287,
2014,Government Transfer Income,Total Both Sexes,Total Regions,European,Average Weekly Income,291,
2015,Government Transfer Income,Total Both Sexes,Total Regions,European,Average Weekly Income,303,
2016,Government Transfer Income,Total Both Sexes,Total Regions,European,Average Weekly Income,309,
2017,Government Transfer Income,Total Both Sexes,Total Regions,European,Average Weekly Income,322,
2018,Government Transfer Income,Total Both Sexes,Total Regions,European,Average Weekly Income,331,
2019,Government Transfer Income,Total Both Sexes,Total Regions,European,Average Weekly Income,337,
2020,Government Transfer Income,Total Both Sexes,Total Regions,European,Average Weekly Income,361,
2021,Government Transfer Income,Total Both Sexes,Total Regions,European,Average Weekly Income,371,
2022,Government Transfer Income,Total Both Sexes,Total Regions,European,Average Weekly Income,392,
2023,Government Transfer Income,Total Both Sexes,Total Regions,European,Average Weekly Income,423,
2013,Government Transfer Income,Total Both Sexes,Total Regions,European,Median Weekly Income,304,
2014,Government Transfer Income,Total Both Sexes,Total Regions,European,Median Weekly Income,309,
2015,Government Transfer Income,Total Both Sexes,Total Regions,European,Median Weekly Income,323,
2016,Government Transfer Income,Total Both Sexes,Total Regions,European,Median Weekly Income,324,
2017,Government Transfer Income,Total Both Sexes,Total Regions,European,Median Weekly Income,341,
2018,Government Transfer Income,Total Both Sexes,Total Regions,European,Median Weekly Income,342,
2019,Government Transfer Income,Total Both Sexes,Total Regions,European,Median Weekly Income,348,
2020,Government Transfer Income,Total Both Sexes,Total Regions,European,Median Weekly Income,370,
2021,Government Transfer Income,Total Both Sexes,Total Regions,European,Median Weekly Income,380,
2022,Government Transfer Income,Total Both Sexes,Total Regions,European,Median Weekly Income,402,
2023,Government Transfer Income,Total Both Sexes,Total Regions,European,Median Weekly Income,433,
2013,Government Transfer Income,Total Both Sexes,Total Regions,European,Number of People (000),861.7,
2014,Government Transfer Income,Total Both Sexes,Total Regions,European,Number of People (000),831.9,
2015,Government Transfer Income,Total Both Sexes,Total Regions,European,Number of People (000),865,
2016,Government Transfer Income,Total Both Sexes,Total Regions,European,Number of People (000),860.5,
2017,Government Transfer Income,Total Both Sexes,Total Regions,European,Number of People (000),840.5,
2018,Government Transfer Income,Total Both Sexes,Total Regions,European,Number of People (000),843.7,
2019,Government Transfer Income,Total Both Sexes,Total Regions,European,Number of People (000),877.4,
2020,Government Transfer Income,Total Both Sexes,Total Regions,European,Number of People (000),902,
2021,Government Transfer Income,Total Both Sexes,Total Regions,European,Number of People (000),922.3,
2022,Government Transfer Income,Total Both Sexes,Total Regions,European,Number of People (000),914.8,
2023,Government Transfer Income,Total Both Sexes,Total Regions,European,Number of People (000),910.7,
2013,All sources collected,Total Both Sexes,Total Regions,European,Average Weekly Income,743,
2014,All sources collected,Total Both Sexes,Total Regions,European,Average Weekly Income,793,
2015,All sources collected,Total Both Sexes,Total Regions,European,Average Weekly Income,806,
2016,All sources collected,Total Both Sexes,Total Regions,European,Average Weekly Income,843,
2017,All sources collected,Total Both Sexes,Total Regions,European,Average Weekly Income,867,
2018,All sources collected,Total Both Sexes,Total Regions,European,Average Weekly Income,921,
2019,All sources collected,Total Both Sexes,Total Regions,European,Average Weekly Income,944,
2020,All sources collected,Total Both Sexes,Total Regions,European,Average Weekly Income,925,
2021,All sources collected,Total Both Sexes,Total Regions,European,Average Weekly Income,1007,
2022,All sources collected,Total Both Sexes,Total Regions,European,Average Weekly Income,1058,
2023,All sources collected,Total Both Sexes,Total Regions,European,Average Weekly Income,1133,
2013,All sources collected,Total Both Sexes,Total Regions,European,Median Weekly Income,556,
2014,All sources collected,Total Both Sexes,Total Regions,European,Median Weekly Income,591,
2015,All sources collected,Total Both Sexes,Total Regions,European,Median Weekly Income,614,
2016,All sources collected,Total Both Sexes,Total Regions,European,Median Weekly Income,630,
2017,All sources collected,Total Both Sexes,Total Regions,European,Median Weekly Income,640,
2018,All sources collected,Total Both Sexes,Total Regions,European,Median Weekly Income,696,
2019,All sources collected,Total Both Sexes,Total Regions,European,Median Weekly Income,726,
2020,All sources collected,Total Both Sexes,Total Regions,European,Median Weekly Income,687,
2021,All sources collected,Total Both Sexes,Total Regions,European,Median Weekly Income,778,
2022,All sources collected,Total Both Sexes,Total Regions,European,Median Weekly Income,834,
2023,All sources collected,Total Both Sexes,Total Regions,European,Median Weekly Income,912,
2013,All sources collected,Total Both Sexes,Total Regions,European,Number of People (000),2537.8,
2014,All sources collected,Total Both Sexes,Total Regions,European,Number of People (000),2565.3,
2015,All sources collected,Total Both Sexes,Total Regions,European,Number of People (000),2679.9,
2016,All sources collected,Total Both Sexes,Total Regions,European,Number of People (000),2759.5,
2017,All sources collected,Total Both Sexes,Total Regions,European,Number of People (000),2765.4,
2018,All sources collected,Total Both Sexes,Total Regions,European,Number of People (000),2771,
2019,All sources collected,Total Both Sexes,Total Regions,European,Number of People (000),2768.5,
2020,All sources collected,Total Both Sexes,Total Regions,European,Number of People (000),2839.8,
2021,All sources collected,Total Both Sexes,Total Regions,European,Number of People (000),2861.8,
2022,All sources collected,Total Both Sexes,Total Regions,European,Number of People (000),2885.1,
2023,All sources collected,Total Both Sexes,Total Regions,European,Number of People (000),2877,
2013,Self-employment Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,664,
2014,Self-employment Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,920,
2015,Self-employment Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,1048,
2016,Self-employment Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,870,
2017,Self-employment Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,1062,
2018,Self-employment Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,1039,
2019,Self-employment Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,1016,
2020,Self-employment Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,919,
2021,Self-employment Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,1003,
2022,Self-employment Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,993,
2023,Self-employment Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,1277,
2013,Self-employment Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,614,
2014,Self-employment Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,767,
2015,Self-employment Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,690,
2016,Self-employment Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,575,
2017,Self-employment Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,834,
2018,Self-employment Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,575,
2019,Self-employment Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,624,
2020,Self-employment Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,650,
2021,Self-employment Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,575,
2022,Self-employment Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,575,
2023,Self-employment Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,690,
2013,Self-employment Income,Total Both Sexes,Total Regions,Maori,Number of People (000),19.8,
2014,Self-employment Income,Total Both Sexes,Total Regions,Maori,Number of People (000),18.5,
2015,Self-employment Income,Total Both Sexes,Total Regions,Maori,Number of People (000),21.3,
2016,Self-employment Income,Total Both Sexes,Total Regions,Maori,Number of People (000),40.6,
2017,Self-employment Income,Total Both Sexes,Total Regions,Maori,Number of People (000),35.5,
2018,Self-employment Income,Total Both Sexes,Total Regions,Maori,Number of People (000),38.3,
2019,Self-employment Income,Total Both Sexes,Total Regions,Maori,Number of People (000),40.8,
2020,Self-employment Income,Total Both Sexes,Total Regions,Maori,Number of People (000),42.9,
2021,Self-employment Income,Total Both Sexes,Total Regions,Maori,Number of People (000),53,
2022,Self-employment Income,Total Both Sexes,Total Regions,Maori,Number of People (000),57.3,
2023,Self-employment Income,Total Both Sexes,Total Regions,Maori,Number of People (000),56.2,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,845,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,871,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,869,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,917,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,960,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,974,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,996,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,1091,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,1122,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,1205,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,1302,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,767,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,800,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,800,
